symbol,date,open,high,low,close,volume,count
SH000001,202211250000,787.9500,791.0390,781.3050,790.3080,167627884,1607419981
SH000001,202211280000,778.6920,830.2620,778.5980,830.0610,407432283,3986837835
SH000001,202211290000,826.5910,902.2110,826.5910,896.8460,609279428,6420662987
SH000001,202211300000,891.1790,919.7560,876.2960,917.1280,749782708,8024714053
SH000001,202212010000,940.4690,940.4690,904.2910,911.5420,773459113,8533965481
SH000001,202212020000,922.1790,948.3450,917.9510,929.3590,640022016,6590035656
SH000001,202212050000,930.7780,940.3180,913.8780,916.8490,518277565,5647434597
SH000001,202212060000,927.6260,960.0300,925.3710,932.6460,677895346,7218065563
SH000001,202212070000,935.3590,982.5480,923.5770,962.3160,714313049,7851409960
SH000001,202212080000,942.4890,994.5340,939.7510,983.7250,772022309,8661061970
SH000001,202212090000,961.6510,966.5580,930.5620,950.3870,718569187,7569708584
SH000001,202212120000,950.9280,968.6890,939.4050,945.9720,530339355,5783172217
SH000001,202212130000,941.2120,990.9850,941.2120,976.9280,705031405,8175542903
SH000001,202212140000,965.5680,1030.4460,965.5680,1015.4380,733397699,8922131140
SH000001,202212150000,1004.1820,1008.8360,978.8260,981.2670,581142218,6895642490
SH000001,202212160000,978.4400,995.1560,960.6240,987.0490,436714467,5085511175
SH000001,202212190000,986.5830,986.8440,956.2070,963.2580,392036940,4523165281
SH000001,202212200000,954.0840,955.5330,932.3350,936.1090,328767192,3710951647
SH000001,202212210000,944.8170,965.0790,944.8170,958.5410,358852311,4094976655
SH000001,202212220000,948.2930,966.2120,942.1420,942.5800,374989091,4257503064
SH000001,202212230000,951.8120,975.5840,949.8040,956.7840,374236847,4300665826
SH000001,202212260000,952.7300,1014.9090,952.7300,994.6890,545604912,6430978751
SH000001,202212270000,990.5000,990.5000,946.2500,981.8660,606198511,7166212085
SH000001,202212280000,959.3540,1020.6060,959.3540,1012.4070,644329433,7714075634
SH000001,202212290000,981.9070,1022.6870,980.0440,982.8900,557302256,6818451603
SH000001,202212300000,983.3310,1009.2940,971.8010,999.6480,476942083,5820483042
SH000001,201301030000,989.6080,1012.9680,962.4260,970.2800,525143779,6133173154
SH000001,201301040000,964.6480,998.6140,961.9920,985.2580,390626982,4743154486
SH000001,201301050000,968.5940,989.9930,949.7390,983.8240,454200060,5354369509
SH000001,201301060000,974.8530,974.8530,938.4680,941.9340,423069687,4843800167
SH000001,201301090000,944.2680,960.7500,934.9220,953.0780,283149277,3249072621
SH000001,201301100000,947.6480,957.0090,934.2790,940.9580,264281606,3094089186
SH000001,201301110000,935.5030,935.5030,914.5880,914.5880,261688844,2843943539
SH000001,201301120000,916.1230,918.7540,901.3420,904.2390,197791416,2177307328
SH000001,201301130000,902.9250,919.8420,898.6770,919.5930,207225058,2448636243
SH000001,201301160000,917.5770,922.3590,910.3920,912.4270,193859817,2367563168
SH000001,201301170000,912.4260,935.8690,910.1300,935.8690,257236416,2867683146
SH000001,201301180000,924.3310,928.9270,917.3550,921.4010,190031811,2216379884
SH000001,201301190000,918.4280,933.8770,916.9340,924.8940,200569978,2294825379
SH000001,201301200000,929.3210,942.7070,929.3210,940.9590,211951732,2477079191
SH000001,201301300000,957.7720,957.7720,924.8300,927.3020,367196807,4374452205
SH000001,201301310000,915.3590,916.0920,897.5880,899.6920,252222325,2919187771
SH000001,201302010000,898.5510,905.8390,892.6870,905.8320,223529726,2644851163
SH000001,201302020000,906.9270,925.9550,903.0870,925.9550,277505832,3089659976
SH000001,201302030000,919.7640,921.8150,913.0990,921.2930,198496280,2308690497
SH000001,201302060000,921.2410,941.1470,921.2410,923.7330,253297290,2943463999
SH000001,201302070000,921.6030,925.0150,901.0240,906.4400,232523915,2656677415
SH000001,201302080000,900.9840,911.4100,898.4120,899.4840,157362271,1875767739
SH000001,201302090000,893.9170,910.3390,893.3310,910.3390,177281115,2148796063
SH000001,201302100000,911.8240,926.5860,909.2070,923.4870,229659833,2698261000
SH000001,201302130000,924.3790,943.9690,924.1240,943.9690,288358972,3489271135
SH000001,201302140000,939.6540,939.6540,927.0620,929.7260,196483497,2152059742
SH000001,201302150000,928.3230,928.3230,919.5800,920.8200,138190835,1569555273
SH000001,201302160000,925.6680,937.9530,904.4080,908.8860,264443055,3129149417
SH000001,201302170000,911.7060,920.1530,899.4280,907.6770,183837039,2104306134
SH000001,201302200000,903.3990,916.2040,898.9220,916.1130,142950097,1649415799
SH000001,201302210000,918.8690,925.3770,912.4510,921.2420,133646155,1607251805
SH000001,201302220000,914.6310,919.0560,914.0550,917.1610,107212592,1259067772
SH000001,201302230000,917.9500,922.5900,909.7680,910.9860,102781844,1217970048
SH000001,201302240000,910.2160,912.6570,901.6000,912.1370,90325784,1048731281
SH000001,201302270000,911.8000,931.8150,909.4840,928.6800,194922993,2317862799
SH000001,201302280000,926.7900,947.5300,926.7900,946.8010,246509716,2908742818
SH000001,201303010000,942.8450,946.4950,938.6190,946.4950,167448588,2027479902
SH000001,201303020000,946.3330,957.5970,946.3330,951.5220,192103583,2410392189
SH000001,201303030000,950.0080,957.4350,943.7120,954.4050,159494552,1944115501
SH000001,201303060000,951.1220,977.4580,950.9050,975.9700,289336502,3595839227
SH000001,201303070000,966.1130,976.6540,961.4890,962.7650,227994620,2797419059
SH000001,201303080000,958.2200,975.2620,957.4920,966.6350,177436202,2222507449
SH000001,201303090000,963.8470,963.8470,943.5800,944.2880,172358595,2059530461
SH000001,201303100000,939.6290,946.3240,921.5700,921.9570,174985431,2013912536
SH000001,201303130000,925.1860,941.3450,922.3700,941.3450,182372910,2257627593
SH000001,201303140000,935.4730,935.4730,909.8570,913.8540,174340611,2016377823
SH000001,201303150000,921.8990,921.8990,906.6200,907.9720,121663981,1515027774
SH000001,201303160000,900.4570,900.4570,886.8120,888.1200,152427677,1667404163
SH000001,201303170000,897.3250,911.4770,897.3020,901.5520,157222843,1862329055
SH000001,201303200000,896.5700,912.0410,894.6890,903.8440,187564307,2201879254
SH000001,201303210000,902.5960,944.6990,902.5960,939.9730,271243490,3180251191
SH000001,201303220000,939.9730,944.4390,936.4340,944.4390,187136233,2291646341
SH000001,201303230000,944.4390,944.4390,934.6200,941.5310,147807866,1788938050
SH000001,201303240000,939.2320,955.2640,939.2320,944.6810,188922584,2361467034
SH000001,201303270000,948.2250,965.0620,948.2250,961.6560,253371677,3168513206
SH000001,201303280000,964.6660,976.2740,954.3480,962.5750,268614764,3390331358
SH000001,201303290000,957.3560,985.7250,957.3560,970.8540,287654064,3512679565
SH000001,201303300000,960.6480,987.0580,960.6480,980.6870,297414606,3784426896
SH000001,201303310000,973.6800,982.7440,966.8260,980.6570,265034447,3409987699
SH000001,201304030000,980.7670,999.0140,980.7670,990.2210,296227691,3876838805
SH000001,201304040000,989.8070,1003.6220,972.0520,978.7070,283535490,3670850982
SH000001,201304060000,971.1340,980.1670,962.8150,969.6770,210883179,2678464124
SH000001,201304070000,969.6770,996.8320,969.6770,990.7220,300123566,3768142955
SH000001,201304100000,988.4780,1010.7830,986.1340,1007.1610,343127424,4431791647
SH000001,201304110000,1014.4060,1043.4790,1011.2480,1015.0880,394910984,5291925792
SH000001,201304120000,1020.2290,1032.8310,1005.5780,1017.2440,360956156,4910863841
